[2021-05-17 11:49:35] -> Lat:4640.5362N ; Lon:00124.4119W
[2021-05-17 11:49:36] -> Lat:4640.5362N ; Lon:00124.4119W
[2021-05-17 11:49:37] -> Lat:4640.5362N ; Lon:00124.4119W
[2021-05-17 11:49:38] -> Lat:4640.5362N ; Lon:00124.4119W
[2021-05-17 11:49:39] -> Lat:4640.5362N ; Lon:00124.4119W
[2021-05-17 11:49:40] -> Lat:4640.5362N ; Lon:00124.4119W
[2021-05-17 11:49:41] -> Lat:4640.5362N ; Lon:00124.4119W
[2021-05-17 11:49:42] -> Lat:4640.5362N ; Lon:00124.4119W
[2021-05-17 11:49:43] -> Lat:4640.5362N ; Lon:00124.4119W
[2021-05-17 11:49:44] -> Lat:4640.5362N ; Lon:00124.4119W
[2021-05-17 11:49:45] -> Lat:4640.5362N ; Lon:00124.4119W
[2021-05-17 11:49:46] -> Lat:4640.5362N ; Lon:00124.4119W
[2021-05-17 11:49:47] -> Lat:4640.5362N ; Lon:00124.4119W
[2021-05-17 11:49:48] -> Lat:4640.5362N ; Lon:00124.4119W
